store_id,clinic_name,store_name,Zipcode,adress,access
urara_001,ウララクリニック,銀座院,〒104-0061,東京都中央区銀座2丁目11番8号ラウンドクロス銀座2丁目ビル8階,銀座駅から徒歩5分
urara_002,ウララクリニック,新宿院,〒160-0022,東京都新宿区新宿3丁目4番8号京王フレンテ新宿3丁目6階,新宿駅より徒歩7分
sbc_001,湘南美容クリニック,ベトナム院,〒700000,230 Nguyen Dinh Chieu 6,-
sbc_002,湘南美容クリニック,那覇院,〒900-0015,沖縄県那覇市久茂地1-3-1 久茂地セントラルビル 2階,-
sbc_003,湘南美容クリニック,鹿児島中央院,〒890-0045,鹿児島県鹿児島市武1丁目2番1号 鹿児島中央駅西口複合ビル3階,-
sbc_004,湘南美容クリニック,鹿児島院,〒892-0827,鹿児島県鹿児島市中町5-26 カリーノ天文館5階,-
sbc_005,湘南美容クリニック,宮崎院,〒880-0806,宮崎県宮崎市広島2-11-11 アミュプラザみやざき やま館 6F,-
sbc_006,湘南美容クリニック,長崎院,〒850-0058,長崎県長崎市尾上町1-1 アミュプラザ長崎新館4階,-
sbc_007,湘南美容クリニック,熊本院,〒860-0808,熊本県熊本市中央区手取本町4-1 大劇会館6階,-
sbc_008,湘南美容クリニック,大分院,〒870-0035,大分県大分市中央町１丁目2-17 大分OPA 3階,-
sbc_009,湘南美容クリニック,小倉院,〒802-0001,福岡県北九州市小倉北区浅野1‐1‐1 アミュプラザ小倉4F,-
sbc_010,湘南美容クリニック,久留米院,〒830-0033,福岡県久留米市天神町1番地6 千歳プラザ東館3階,-
sbc_011,湘南美容クリニック,博多院,〒812-0013,福岡県福岡市博多区博多駅東2-5-33 ゲートスクエア博多駅前 4階,-
sbc_012,湘南美容クリニック,福岡院,〒810-0004,福岡県福岡市中央区渡辺通4-9-25 Luz福岡天神7階,-
sbc_013,湘南美容クリニック,松山院,〒790-0012,愛媛県松山市湊町4‐10‐8 BE-FLATビル3階,-
sbc_014,湘南美容クリニック,高知院,〒780-0822,高知県高知市はりまや町1丁目5－1 デンテツターミナルビル6階,-
sbc_015,湘南美容クリニック,高松院,〒760-0029,香川県高松市丸亀町3-13 高松丸亀町参番街西館2階,-
sbc_016,湘南美容クリニック,下関院,〒750-8503,山口県下関市竹崎町4丁目4番10号 大丸下関店7F,-
sbc_017,湘南美容クリニック,岡山院,〒700-0024,岡山県岡山市北区駅元町1番25号 さんすて岡山西館4F,-
sbc_018,湘南美容クリニック,倉敷院,〒710-0055,岡山県倉敷市阿知１丁目1-1 さんすて倉敷2階,-
sbc_019,湘南美容クリニック,福山院,〒720-0066,広島県福山市三之丸町30-1 さんすて福山2階,-
sbc_020,湘南美容クリニック,広島院,〒730-0013,広島県広島市中区八丁堀16-3 広島第一ビル6F,-
sbc_021,湘南美容クリニック,和歌山院,〒640-8342,和歌山県和歌山市友田町5丁目18番地 和歌山ミオ北館2階,-
sbc_022,湘南美容クリニック,西宮北口院,〒662-0832,兵庫県西宮市甲風園1-10‐1 サテライトビル2 5F,-
sbc_023,湘南美容クリニック,姫路院,〒670-0927,兵庫県姫路市駅前町254 姫路駅前ビル2F,-
sbc_024,湘南美容クリニック,明石院,〒673-0891,兵庫県明石市大明石町1丁目5－4 三井住友銀行明石ビル6階,-
sbc_025,湘南美容クリニック,神戸三宮院,〒650-0021,兵庫県神戸市中央区三宮町1丁目4-8 関電不動産神戸三宮ビル4F,-
sbc_026,湘南美容クリニック,奈良院,〒631-0821,奈良県奈良市西大寺東町2-4-1 ならファミリー1階,-
sbc_027,湘南美容クリニック,京都駅ビル院,〒600-8216,京都府京都市下京区烏丸通塩小路下る東塩小路町901 京都駅ビル9階,-
sbc_028,湘南美容クリニック,京都河原町院,郵便番号が見つかりません,京都府京都市下京区四条通寺町東入ル2丁目御旅町46番地 寺内ノースサイドビル4F,-
sbc_029,湘南美容クリニック,京都院,〒600-8005,京都府京都市下京区四条通柳馬場東入立売東町12-1 日土地京都四条通ビル5階,-
sbc_030,湘南美容クリニック,江坂院,〒564-0051,大阪府吹田市豊津町9-44 ハートランド江坂6F,-
sbc_031,湘南美容クリニック,枚方院,〒573-1191,大阪府枚方市新町一丁目１番８号 Hirakata Woven 3階,-
sbc_032,湘南美容クリニック,大阪堺東院,〒590-0076,大阪府堺市堺区北瓦町2丁4番16号 堺富士ビル8階,-
