store_id,clinic_name,store_name,query
zenyum_003,ゼニュム提携歯科医院,赤坂さくら歯科クリニック（赤坂）,赤坂さくら歯科クリニック（赤坂） ゼニュム提携歯科医院
zenyum_004,ゼニュム提携歯科医院,おおじま駅前歯科・大島駅前矯正歯科（大島）,おおじま駅前歯科・大島駅前矯正歯科（大島） ゼニュム提携歯科医院
zenyum_005,ゼニュム提携歯科医院,サファイアデンタルクリニック（新宿）,サファイアデンタルクリニック（新宿） ゼニュム提携歯科医院
zenyum_006,ゼニュム提携歯科医院,Aクリニックデンタル(銀座),Aクリニックデンタル(銀座) ゼニュム提携歯科医院
zenyum_007,ゼニュム提携歯科医院,緑のテラス歯科クリニック（流山おおたかの森）,緑のテラス歯科クリニック（流山おおたかの森） ゼニュム提携歯科医院
zenyum_008,ゼニュム提携歯科医院,新福島ホワイトノア歯科・矯正歯科（大阪）,新福島ホワイトノア歯科・矯正歯科（大阪） ゼニュム提携歯科医院
zenyum_009,ゼニュム提携歯科医院,宝塚あさひ歯科クリニック（宝塚市）,宝塚あさひ歯科クリニック（宝塚市） ゼニュム提携歯科医院
zenyum_010,ゼニュム提携歯科医院,デュランタデンタルクリニック栄歯科・矯正歯科,デュランタデンタルクリニック栄歯科・矯正歯科 ゼニュム提携歯科医院
zenyum_011,ゼニュム提携歯科医院,仙台駅前歯科・矯正歯科(仙台),仙台駅前歯科・矯正歯科(仙台) ゼニュム提携歯科医院
zenyum_012,ゼニュム提携歯科医院,スコーネデンタルオフィス（伊勢崎市）,スコーネデンタルオフィス（伊勢崎市） ゼニュム提携歯科医院
zenyum_013,ゼニュム提携歯科医院,TOCHIGI DENTAL CLINIC（栃木市）,TOCHIGI DENTAL CLINIC（栃木市） ゼニュム提携歯科医院
zenyum_014,ゼニュム提携歯科医院,天神オーラルケアクリニック（福岡）,天神オーラルケアクリニック（福岡） ゼニュム提携歯科医院
zenyum_015,ゼニュム提携歯科医院,横田矯正歯科クリニック（福岡）,横田矯正歯科クリニック（福岡） ゼニュム提携歯科医院
zenyum_016,ゼニュム提携歯科医院,わかまつ歯科医院（札幌）,わかまつ歯科医院（札幌） ゼニュム提携歯科医院
kireiline_003,キレイライン矯正,アルディバラン渋谷デンタルクリニック,アルディバラン渋谷デンタルクリニック キレイライン矯正
kireiline_004,キレイライン矯正,キレイライン提携クリニック,キレイライン提携クリニック キレイライン矯正
kireiline_005,キレイライン矯正,新宿駅前矯正歯科クリニック,新宿駅前矯正歯科クリニック キレイライン矯正
