parameter_no,no1,no2,no3,no4,no5,no6,no7,no8,no9,no10,no11,no12,no13,no14,no15,no16,no17,no18,no19,no20
000,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
001,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
002,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
004,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
005,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
006,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
007,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
008,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
009,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
010,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
011,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
012,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
013,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
014,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
015,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
016,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
017,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
018,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
019,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
020,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
021,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
022,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
023,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
024,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
025,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
026,2,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
027,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
028,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
029,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
030,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
031,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
032,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
033,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
034,2,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
035,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
036,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
037,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
038,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
039,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
040,1,2,3,4,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
041,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
042,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
043,3,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
044,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
